,idol,count
4597,くらむず,2
5670,アライブとレイニー,2
1894,ピンキーポーカー,2
1859,lisa,2
1737,kus kus,2
3062,リナステ,2
4877,dreamingmonster,2
4850,ナトカン,2
3060,future♡hearts,2
6295,星名はる,2
1742,やなミュー,2
6292,アフィリアサーガ,2
1236,高橋みなみ,2
3107,指原莉乃,2
5896,tip toe.,2
5668,:,2
3112,勅使河原優奈,2
1745,ぜん君。,2
4857,福岡flavor,2
4933,桃レボ,2
1203,里咲りさと絵恋ちゃん,2
3046,bestiem,2
2119,さっちゃん,2
3047,zombie powder,2
1922,with love,2
3227,フィロソフィのダンス,2
5677,安島菜々,2
6094,star marie,2
1514,6 東京女子流,2
1513,5 あゆみくりかまき,2
2001,sparkle pink ruby,2
2936,akb16期生,2
4664,春奈るな,2
4999,おとといフライデー,2
2937,欅坂48,2
1996,milkshake,2
1498,広末涼子,2
3369,はちぺら,2
4717,2アキシブproject,2
1490,純情アフィリア,2
3303,若月彩花,2
1484,有香,2
1998,pax puella,2
4995,hy4_4yh,2
1375,きみともキャンディ,2
2059,煌めきアンフォレット,2
1547,バナモン,2
2061,合法幼女症候群,2
5710,森下純菜,2
4737,gratia-ala,2
1540,t-ara,2
3279,marry doll,2
1348,lunaria,2
1523,福田花音,2
1349,あいうち,2
1538,blackpink,2
3280,太田ゆうき,2
1535,少女時代,2
4659,sawa,2
1530,tokyo pixion,2
3368,アンダービーズティー,2
2940,ピクション,2
6192,やなことそっとミュート,2
1433,ぶっ壊れre:論‰,2
1452,出演順,2
3325,パンプキン,2
6123,vienolossi,2
3327,ポピンズ,2
1403,åcm,2
4697,ネコプラ,2
5735,ブルートリップ.,2
1454,キャナァーリ倶楽部,2
3334,順番は適当,2
3335,ワガママきいて??,2
3339,pidl,2
5019,ニコニコlovers,2
5016,代代代,2
3342,(調整),2
6153,8bis,2
6116,校庭カメラアクトレス,2
4671,3ぜんぶ君のせいだ。,2
3360,6神宿,2
1481,jk21r,2
1477,旬野菜,2
1475,(五十音順),2
2012,橘うらら,2
3361,7super☆girls,2
1473,predianna,2
1385,リリカルスクール,2
3319,butterfly.ねっと,2
3359,5アイドルネッサンス,2
3358,4bish,2
2964,8 bish,2
4707,pyuaccoreloaded,2
3315,dianna☆sweet,2
3355,1あゆみくりかまき,2
1548,peace of cake,2
4741,ピンクレディ,2
2905,perfo☆ism,2
1621,ステーション♪,2
1641,小川すみれ,2
3010,さっきの女の子、,2
4787,えくれあエクレット,2
1629,esd,2
1626,娘。,2
1624,フレベジ,2
1619,アミーガス,2
1646,うりゃおい,2
1299,新山きらり,2
1413,synth de la eve,2
1953,3虹のコンキスタドール,2
4779,シバノソウ,2
1302,みのりほのか,2
3413,タイテ順,2
1644,それ。,2
3212,5アップアップガールズ(仮),2
1610,sugar&solt,2
1658,6 でんぱ組.inc,2
1673,ぷりんせす♡たいむ,2
2103,最上もが,2
1667,mind circus,2
1935,i's9,2
4617,nanocune,2
2913,stylips,2
1284,neco plastic,2
1651,kamoがネギをしょってくる,2
3014,オレンチェ,2
1286,ニァピン,2
1938,放課後広カワ団,2
3209,1task have fun,2
2916,ppp! pixion,2
4795,ニコニコ❤lovers,2
1309,cheekyparade,2
3407,篠田麻里子,2
1335,rynryn☆ミどろっぷ,2
1566,akb48(team8),2
5775,川音希,2
1578,parasite kiss,2
5774,8  bis,2
6051,妖精,2
5770,4 アイドルネッサンス,2
1570,岡田有希子,2
1982,wi☆th,2
1582,saintsex,2
3395,ころばんやくも,2
3267,竹越くるみ,2
1559,the idol formerly known as lady baby,2
1557,星野みちる,2
2984,神使轟く、激情の如く,2
4743,河合奈保子,2
5776,清 竜人25,2
2994,シンセドライブ,2
1956,6cy8er,2
1601,sガール,2
4641,ぷち☆ぱすぽ,2
1958,8ぜんぶ君のせいだ。,2
3403,6 チームしゃちほこ,2
1959,白のアリア,2
5702,篠崎愛,2
4770,タイテ,2
3241,7bish,2
1585,イマキス,2
1596,山本乃愛,2
1595,御転婆大使館,2
